TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Camille,Annie,Kayn,Jinx,Thresh,Win,55610,51336,1,31,2,0,2,6,200
Malphite,Akshan,JarvanIV,Heimerdinger,Senna,Lose,42651,54251,0,17,1,0,0,3,100
Volibear,Galio,Kindred,Lucian,Nami,Win,58212,60876,0,32,2,1,0,8,200
Rumble,Jayce,Khazix,Jinx,Shaco,Lose,53941,61216,1,23,1,0,2,4,100
Renekton,Akshan,Ekko,Twitch,Lux,Win,45762,45163,0,24,0,0,1,4,200
Yasuo,Zed,LeeSin,Caitlyn,Nautilus,Lose,40263,46338,0,22,1,0,1,2,100
Jax,Irelia,Evelynn,KogMaw,Rakan,Win,20731,2500,0,12,1,0,0,1,100
Darius,Talon,Udyr,Twitch,Shaco,Lose,16872,20182,0,7,0,0,1,0,200
Gnar,Diana,Kayn,Twitch,Zyra,Win,54436,48559,1,23,2,1,2,7,200
Neeko,Yone,Karthus,KogMaw,Bard,Lose,41834,46784,0,10,1,0,0,0,100
Rengar,Leblanc,Kindred,Lucian,Milio,Win,33275,33353,0,11,0,0,1,1,200
Nasus,Ahri,Viego,Caitlyn,Lux,Lose,29928,32803,0,5,1,0,0,1,100
Jayce,Ahri,MonkeyKing,Aphelios,Alistar,Win,68045,8000,1,42,3,2,1,9,100
Akshan,Zoe,LeeSin,Samira,Nautilus,Lose,68378,75078,0,36,1,0,1,4,200
Ornn,Nidalee,Graves,Zeri,Rakan,Win,62174,55648,1,32,2,2,2,9,200
Irelia,Tristana,Karthus,Kalista,Nautilus,Lose,49548,55148,0,17,0,0,0,4,100
Rumble,Lissandra,Nunu,Kaisa,Lulu,Win,34889,35384,0,24,2,0,2,4,200
Malphite,Veigar,Graves,Ashe,Amumu,Lose,28509,34409,0,8,0,0,0,0,100
Olaf,Akshan,Gragas,Xayah,Rakan,Win,84462,8000,2,35,2,1,1,7,100
Garen,Pantheon,Karthus,Jinx,Blitzcrank,Lose,85638,93363,1,34,3,1,1,6,200
Cassiopeia,Vladimir,RekSai,Varus,Velkoz,Win,80073,78974,1,44,4,2,1,10,200
